center_r center_z center_phi radius inclination cells_r cells_z cells_phi cells_surface_radius cells_surface_phi flux_momentum flux_momentum_unit flux_mass flux_mass_unit
0 1660000000000000.0 0 2510000000000000.0 0.0 104166663913472.02 1562499975479296.0 0.0 2500000068141056.0 0.0 5.571694241077295e-06 km_solMass_/_(s_yr) 5.982943312214077e-08 solMass_/_yr
0 2200000000000000.0 0 2510000000000000.0 0.0 104166663913472.02 2187500059623424.0 0.0 2500000068141056.0 0.0 5.579579230157949e-06 km_solMass_/_(s_yr) 5.7964937776819865e-08 solMass_/_yr
0 2800000000000000.0 0 2510000000000000.0 0.0 104166663913472.02 2812500009549824.0 0.0 2500000068141056.0 0.0 5.5988331741498985e-06 km_solMass_/_(s_yr) 5.4919983101251734e-08 solMass_/_yr
0 3400000000000000.0 0 2510000000000000.0 0.0 104166663913472.02 3437499892367360.0 0.0 2500000068141056.0 0.0 5.643589854293525e-06 km_solMass_/_(s_yr) 5.2582551842440455e-08 solMass_/_yr
0 3900000000000000.0 0 2510000000000000.0 0.0 104166663913472.02 3854166749347840.0 0.0 2500000068141056.0 0.0 5.6823028490634515e-06 km_solMass_/_(s_yr) 5.132242330451284e-08 solMass_/_yr
0 4500000000000000.0 0 2510000000000000.0 0.0 104166663913472.02 4479166766383104.0 0.0 2500000068141056.0 0.0 5.747823129045505e-06 km_solMass_/_(s_yr) 4.975207106866206e-08 solMass_/_yr
0 5000000000000000.0 0 2510000000000000.0 0.0 104166663913472.02 4895833489145856.0 0.0 2500000068141056.0 0.0 5.799116289707537e-06 km_solMass_/_(s_yr) 4.890544598834304e-08 solMass_/_yr
